Generation,currentBestInThisGen,currentAvgInThisGen,currentWorstInThisGen,currentAvgTreeDEpth,bestEverSoFarArr
100,2.346553422,Infinity,Infinity,5,1.136582016
200,1.15452732,2.321099153,5.410600706,5,1.058070121
300,1.621275789,Infinity,Infinity,5,1.058070121
400,1.136582016,1.500697017,2.768224461,5,1.058070121
500,1.136582016,1.740265621,4.740738339,5,1.058070121
600,1.136582016,1.136582016,1.136582016,5,1.058070121
700,1.136582016,1.378594975,2.588659768,5,1.058070121
800,1.136582016,1.141992546,1.169045194,5,1.058070121
900,1.136582016,1.136582016,1.136582016,5,1.058070121
1000,1.136582016,1.224815768,1.665984524,5.166666667,1.058070121
1100,1.136582016,1.136582016,1.136582016,5,1.058070121
1200,1.136582016,1.136582016,1.136582016,5,1.058070121
1300,1.136582016,3.113818347,13,5.166666667,1.058070121
1400,1.136582016,1.136582016,1.136582016,5,1.058070121
1500,1.136582016,1.136582016,1.136582016,5,1.058070121
1600,1.136582016,Infinity,Infinity,5.166666667,1.058070121
1700,1.136582016,1.136582016,1.136582016,5,1.058070121
1800,1.136582016,Infinity,Infinity,5.166666667,1.058070121
1900,1.136582016,1.136582016,1.136582016,5,1.058070121
2000,1.136582016,1.136582016,1.136582016,5,1.058070121
2100,1.136582016,4.221371689,19.64532005,5.166666667,1.058070121
2200,1.136582016,1.136582016,1.136582016,5,1.058070121
2300,1.136582016,1.136582016,1.136582016,5,1.058070121
2400,1.136582016,1.136582016,1.136582016,5,1.058070121
2500,1.136582016,1.136582016,1.136582016,5,1.058070121
2600,1.136582016,1.136582016,1.136582016,5,1.058070121
2700,1.136582016,1.136582016,1.136582016,5,1.058070121
2800,1.136582016,1.136582016,1.136582016,5,1.058070121
2900,1.136582016,1.136582016,1.136582016,5,1.058070121
3000,1.136582016,1.136582016,1.136582016,5,1.058070121
3100,1.136582016,1.136582016,1.136582016,5,1.058070121
3200,1.136582016,1.136582016,1.136582016,5,1.058070121
3300,1.136582016,1.136582016,1.136582016,5,1.058070121
3400,1.136582016,1.136582016,1.136582016,5,1.058070121
3500,1.136582016,1.136582016,1.136582016,5,1.058070121
3600,1.136582016,1.136582016,1.136582016,5,1.058070121
3700,1.136582016,1.136582016,1.136582016,5,1.058070121
3800,1.136582016,1.254828158,1.846058865,5.166666667,1.058070121
3900,1.136582016,2.780485014,11,5.166666667,1.058070121
4000,1.136582016,Infinity,Infinity,5.166666667,1.058070121
4100,1.136582016,1.136582016,1.136582016,5,1.058070121
4200,1.136582016,1.261584738,1.886598347,5.166666667,1.058070121
4300,1.136582016,Infinity,Infinity,5.333333333,1.058070121
4400,1.136582016,27.12992458,157.0966374,5.166666667,1.058070121
4500,1.136582016,1.136582016,1.136582016,5,0.904930136
4600,0.904930136,1.059364723,1.136582016,5.333333333,0.904930136
4700,0.904930136,0.98214743,1.136582016,5.666666667,0.904930136
4800,0.904930136,0.904930136,0.904930136,6,0.904930136
4900,0.904930136,0.904930136,0.904930136,6,0.904930136
5000,0.904930136,0.904930136,0.904930136,6,0.904930136
5100,0.904930136,0.904930136,0.904930136,6,0.904930136
5200,0.904930136,0.904930136,0.904930136,6,0.904930136
5300,0.904930136,6.085639219,31.98918463,6,0.904930136
5400,0.904930136,0.904930136,0.904930136,6,0.904930136
5500,0.904930136,0.904930136,0.904930136,6,0.904930136
5600,0.904930136,Infinity,Infinity,6,0.904930136
5700,0.904930136,0.904930136,0.904930136,6,0.904930136
5800,0.904930136,0.904930136,0.904930136,6,0.904930136
5900,0.904930136,0.904930136,0.904930136,6,0.904930136
6000,0.904930136,0.904930136,0.904930136,6,0.904930136
6100,0.904930136,0.904930136,0.904930136,6,0.904930136
6200,0.904930136,0.904930136,0.904930136,6,0.904930136
6300,0.904930136,0.904930136,0.904930136,6,0.904930136
6400,0.904930136,0.904930136,0.904930136,6,0.904930136
6500,0.904930136,0.904930136,0.904930136,6,0.904930136
6600,0.904930136,0.904930136,0.904930136,6,0.904930136
6700,0.904930136,0.904930136,0.904930136,6,0.904930136
6800,0.904930136,0.904930136,0.904930136,6,0.904930136
6900,0.904930136,0.904930136,0.904930136,6,0.904930136
7000,0.904930136,0.904930136,0.904930136,6,0.904930136
7100,0.904930136,0.904930136,0.904930136,6,0.904930136
7200,0.904930136,0.904930136,0.904930136,6,0.904930136
7300,0.904930136,0.904930136,0.904930136,6,0.904930136
7400,0.904930136,0.904930136,0.904930136,6,0.904930136
7500,0.904930136,0.904930136,0.904930136,6,0.904930136
7600,0.904930136,0.904930136,0.904930136,6,0.904930136
7700,0.904930136,0.904930136,0.904930136,6,0.904930136
7800,0.904930136,0.904930136,0.904930136,6,0.904930136
7900,0.904930136,0.904930136,0.904930136,6,0.904930136
8000,0.904930136,Infinity,Infinity,6,0.904930136
8100,0.904930136,0.904930136,0.904930136,6,0.904930136
8200,0.904930136,0.904930136,0.904930136,6,0.904930136
8300,0.904930136,0.904930136,0.904930136,6,0.904930136
8400,0.904930136,0.904930136,0.904930136,6,0.904930136
8500,0.904930136,8.580955487,32.86601238,6,0.904930136
8600,0.904930136,Infinity,Infinity,6,0.904930136
8700,0.904930136,0.904930136,0.904930136,6,0.904930136
8800,0.904930136,10.8510049,60.5813787,6,0.904930136
8900,0.904930136,0.904930136,0.904930136,6,0.904930136
9000,0.904930136,0.904930136,0.904930136,6,0.904930136
9100,0.904930136,0.904930136,0.904930136,6,0.877078484
9200,0.877078484,0.89100431,0.904930136,6,0.877078484
9300,0.877078484,0.881720426,0.904930136,6,0.877078484
9400,0.877078484,0.877078484,0.877078484,6,0.877078484
9500,0.877078484,0.877078484,0.877078484,6,0.877078484
9600,0.877078484,0.877078484,0.877078484,6,0.877078484
9700,0.877078484,0.877078484,0.877078484,6,0.877078484
9800,0.877078484,0.877078484,0.877078484,6,0.877078484
9900,0.877078484,0.877078484,0.877078484,6,0.877078484
10000,0.877078484,0.877078484,0.877078484,6,0.877078484
