Generation,currentBestInThisGen,currentAvgInThisGen,currentWorstInThisGen,currentAvgTreeDEpth,bestEverSoFarArr
100,1.5301198210162061,2.135175317318841,3.2157839894288087,3.1666666666666665,0.49118903353664833
200,0.9352005132590552,1.2656655433808692,1.95139266508136,3.6666666666666665,0.4911890335366482
300,0.4911890335366482,0.5643391281836095,0.9300896014184153,5,0.4911890335366482
400,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
500,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
600,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
700,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
800,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
900,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
1000,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
1100,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
1200,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
1300,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
1400,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
1500,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
1600,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
1700,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
1800,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
1900,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
2000,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
2100,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
2200,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
2300,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
2400,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
2500,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
2600,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
2700,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
2800,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
2900,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
3000,0.4911890335366482,0.4911890335366483,0.4911890335366482,5,0.4911890335366482
3100,4.706479118082348e-16,0.40932419461387354,0.4911890335366482,5.166666666666667,4.706479118082348e-16
3200,4.706479118082348e-16,0.1637296778455497,0.4911890335366482,5.666666666666667,4.706479118082348e-16
3300,4.706479118082348e-16,4.706479118082348e-16,4.706479118082348e-16,6,4.706479118082348e-16
3400,4.706479118082348e-16,4.706479118082348e-16,4.706479118082348e-16,6,4.706479118082348e-16
3500,4.706479118082348e-16,4.706479118082348e-16,4.706479118082348e-16,6,4.706479118082348e-16
3600,4.706479118082348e-16,4.706479118082348e-16,4.706479118082348e-16,6,4.706479118082348e-16
3700,4.706479118082348e-16,4.706479118082348e-16,4.706479118082348e-16,6,4.706479118082348e-16
3800,4.706479118082348e-16,4.706479118082348e-16,4.706479118082348e-16,6,4.706479118082348e-16
3900,4.706479118082348e-16,4.706479118082348e-16,4.706479118082348e-16,6,4.706479118082348e-16
4000,4.706479118082348e-16,4.706479118082348e-16,4.706479118082348e-16,6,4.706479118082348e-16
4100,4.706479118082348e-16,4.706479118082348e-16,4.706479118082348e-16,6,4.706479118082348e-16
4200,4.706479118082348e-16,4.706479118082348e-16,4.706479118082348e-16,6,4.706479118082348e-16
