Generation,currentBestInThisGen,currentAvgInThisGen,currentWorstInThisGen,currentAvgTreeDEpth,bestEverSoFarArr
100,1.881825355,4.385159416,14.68586395,2.833333333,0.491189034
200,1.306879234,1.306879234,1.306879234,2,0.491189034
300,0.491189034,0.763085767,1.306879234,2.666666667,0.491189034
400,0.491189034,0.491189034,0.491189034,3,0.491189034
500,0.491189034,0.491189034,0.491189034,3,0.491189034
600,0.491189034,0.491189034,0.491189034,3,0.491189034
700,0.491189034,0.491189034,0.491189034,3,0.491189034
800,0.491189034,0.491189034,0.491189034,3,0.491189034
900,0.491189034,0.491189034,0.491189034,3,0.491189034
1000,0.491189034,0.491189034,0.491189034,3,0.491189034
1100,0.491189034,0.491189034,0.491189034,3,0.491189034
1200,0.491189034,0.491189034,0.491189034,3,0.491189034
1300,0.491189034,0.491189034,0.491189034,3,0.491189034
1400,0.491189034,0.734556305,1.951392665,3.166666667,0.491189034
1500,0.491189034,0.491189034,0.491189034,3,0.491189034
1600,0.491189034,0.491189034,0.491189034,3,0.491189034
1700,0.491189034,0.491189034,0.491189034,3,0.491189034
1800,0.491189034,0.491189034,0.491189034,3,0.491189034
1900,0.491189034,0.491189034,0.491189034,3,0.491189034
2000,0.491189034,0.491189034,0.491189034,3,0.491189034
2100,0.491189034,0.491189034,0.491189034,3,0.491189034
2200,0.491189034,0.491189034,0.491189034,3,0.491189034
2300,0.491189034,0.491189034,0.491189034,3,0.491189034
2400,0.491189034,0.491189034,0.491189034,3,0.491189034
2500,0.491189034,0.491189034,0.491189034,3,0.491189034
2600,0.491189034,0.491189034,0.491189034,3,0.491189034
2700,0.491189034,0.491189034,0.491189034,3,0.491189034
2800,0.491189034,0.491189034,0.491189034,3,0.491189034
2900,0.491189034,0.491189034,0.491189034,3,0.491189034
3000,0.491189034,0.491189034,0.491189034,3,0.491189034
3100,0.491189034,0.491189034,0.491189034,3,0.491189034
3200,0.491189034,0.491189034,0.491189034,3,0.491189034
3300,0.491189034,0.491189034,0.491189034,3,0.491189034
3400,0.491189034,0.491189034,0.491189034,3,0.491189034
3500,0.491189034,0.491189034,0.491189034,3,0.491189034
3600,0.491189034,0.491189034,0.491189034,3,0.491189034
3700,0.491189034,0.491189034,0.491189034,3,0.491189034
3800,0.491189034,0.491189034,0.491189034,3,0.491189034
3900,0.491189034,0.491189034,0.491189034,3,0.491189034
4000,0.491189034,0.491189034,0.491189034,3,0.491189034
4100,0.491189034,0.491189034,0.491189034,3,0.491189034
4200,0.491189034,0.491189034,0.491189034,3,0.491189034
4300,0.491189034,0.491189034,0.491189034,3,0.491189034
4400,0.491189034,0.491189034,0.491189034,3,0.491189034
4500,0.491189034,0.491189034,0.491189034,3,0.491189034
4600,0.491189034,0.491189034,0.491189034,3,0.491189034
4700,0.491189034,0.491189034,0.491189034,3,0.491189034
4800,0.491189034,0.491189034,0.491189034,3,0.491189034
4900,0.491189034,0.491189034,0.491189034,3,0.491189034
5000,0.491189034,0.491189034,0.491189034,3,0.491189034
5100,0.491189034,0.491189034,0.491189034,3,0.491189034
5200,0.491189034,0.491189034,0.491189034,3,0.491189034
5300,0.491189034,0.491189034,0.491189034,3,0.491189034
5400,0.491189034,0.491189034,0.491189034,3,0.491189034
5500,0.491189034,0.491189034,0.491189034,3,0.491189034
5600,0.491189034,0.491189034,0.491189034,3,0.491189034
5700,0.491189034,0.491189034,0.491189034,3,0.491189034
5800,0.491189034,0.491189034,0.491189034,3,0.491189034
5900,0.491189034,0.491189034,0.491189034,3,0.491189034
6000,0.491189034,1.473567101,6.385457436,3.5,0.491189034
6100,0.491189034,0.491189034,0.491189034,3,0.491189034
6200,0.491189034,0.491189034,0.491189034,3,0.491189034
6300,0.491189034,0.491189034,0.491189034,3,0.491189034
6400,0.491189034,0.491189034,0.491189034,3,0.491189034
6500,0.491189034,0.491189034,0.491189034,3,0.491189034
6600,0.491189034,0.491189034,0.491189034,3,0.491189034
6700,0.491189034,0.491189034,0.491189034,3,0.491189034
6800,0.491189034,0.491189034,0.491189034,3,0.491189034
6900,0.491189034,0.491189034,0.491189034,3,0.491189034
7000,0.491189034,0.491189034,0.491189034,3,0.491189034
7100,0.491189034,0.491189034,0.491189034,3,0.491189034
7200,0.491189034,0.491189034,0.491189034,3,0.491189034
7300,0.491189034,0.491189034,0.491189034,3,0.491189034
7400,0.491189034,0.491189034,0.491189034,3,0.491189034
7500,0.491189034,13.83244762,80.53874057,3.5,0.491189034
7600,0.491189034,0.491189034,0.491189034,3,0.491189034
7700,0.491189034,0.491189034,0.491189034,3,0.491189034
7800,0.491189034,0.491189034,0.491189034,3,0.491189034
7900,0.491189034,0.491189034,0.491189034,3,0.491189034
8000,0.491189034,0.491189034,0.491189034,3,0.491189034
8100,0.491189034,0.491189034,0.491189034,3,0.491189034
8200,0.491189034,0.491189034,0.491189034,3,0.491189034
8300,0.491189034,0.491189034,0.491189034,3,0.491189034
8400,0.491189034,0.491189034,0.491189034,3,0.491189034
8500,0.491189034,0.718501718,1.855065138,3,0.491189034
8600,0.491189034,0.491189034,0.491189034,3,0.491189034
8700,0.491189034,0.491189034,0.491189034,3,0.491189034
8800,0.491189034,0.491189034,0.491189034,3,0.491189034
8900,0.491189034,0.491189034,0.491189034,3,0.491189034
9000,0.491189034,0.491189034,0.491189034,3,0.491189034
9100,0.491189034,0.491189034,0.491189034,3,0.491189034
9200,0.491189034,0.491189034,0.491189034,3,0.491189034
9300,0.491189034,0.491189034,0.491189034,3,0.491189034
9400,0.491189034,0.491189034,0.491189034,3,0.491189034
9500,0.491189034,0.491189034,0.491189034,3,0.491189034
9600,0.491189034,0.491189034,0.491189034,3,0.491189034
9700,0.491189034,0.491189034,0.491189034,3,0.491189034
9800,0.491189034,0.491189034,0.491189034,3,0.491189034
9900,0.491189034,0.491189034,0.491189034,3,0.491189034
10000,0.491189034,0.491189034,0.491189034,3,0.491189034
